name;postal_code;latitude;longitude;department;department_code;region;country
JASSERON;1250;46.2150037064;5.31215372338;Ain;84;Auvergne-Rhône-Alpes;FR
JAYAT;1340;46.3660828991;5.11429701617;Ain;84;Auvergne-Rhône-Alpes;FR
JOURNANS;1250;46.1464982407;5.33452833151;Ain;84;Auvergne-Rhône-Alpes;FR
JOYEUX;1800;45.9499899849;5.10261326872;Ain;84;Auvergne-Rhône-Alpes;FR
JUJURIEUX;1640;46.0497041467;5.41094771899;Ain;84;Auvergne-Rhône-Alpes;FR
LABALME;1450;46.0932491295;5.49438685213;Ain;84;Auvergne-Rhône-Alpes;FR
LAGNIEU;1150;45.8917015798;5.32917518895;Ain;84;Auvergne-Rhône-Alpes;FR
LAIZ;1290;46.2469919709;4.89933490972;Ain;84;Auvergne-Rhône-Alpes;FR
LE POIZAT LALLEYRIAT;1130;46.1479592076;5.71829194244;Ain;84;Auvergne-Rhône-Alpes;FR
LE POIZAT LALLEYRIAT;1130;46.1479592076;5.71829194244;Ain;84;Auvergne-Rhône-Alpes;FR
LANCRANS;1200;46.1323202721;5.84050985141;Ain;84;Auvergne-Rhône-Alpes;FR
LANTENAY;1430;46.0544405897;5.54127421165;Ain;84;Auvergne-Rhône-Alpes;FR
LAPEYROUSE;1330;45.9859131165;4.98196682865;Ain;84;Auvergne-Rhône-Alpes;FR
LAVOURS;1350;45.8108837933;5.77267317838;Ain;84;Auvergne-Rhône-Alpes;FR
LEAZ;1200;46.1086518044;5.87649017888;Ain;84;Auvergne-Rhône-Alpes;FR
LELEX;1410;46.2855010936;5.92927713771;Ain;84;Auvergne-Rhône-Alpes;FR
LENT;1240;46.1160216305;5.20200684747;Ain;84;Auvergne-Rhône-Alpes;FR
LESCHEROUX;1560;46.4114892731;5.15107164478;Ain;84;Auvergne-Rhône-Alpes;FR
LEYMENT;1150;45.9269989549;5.2947657235;Ain;84;Auvergne-Rhône-Alpes;FR
LEYSSARD;1450;46.1624187428;5.47633297491;Ain;84;Auvergne-Rhône-Alpes;FR
LHOPITAL;1420;46.0238143134;5.76236736492;Ain;84;Auvergne-Rhône-Alpes;FR
LHUIS;1680;45.7444141403;5.53602066955;Ain;84;Auvergne-Rhône-Alpes;FR
LOCHIEU;1260;45.9302479879;5.7413126836;Ain;84;Auvergne-Rhône-Alpes;FR
LOMPNAS;1680;45.8105943351;5.52320457866;Ain;84;Auvergne-Rhône-Alpes;FR
LOMPNIEU;1260;45.9690865613;5.65968816497;Ain;84;Auvergne-Rhône-Alpes;FR
LOYETTES;1360;45.7921564114;5.21770971647;Ain;84;Auvergne-Rhône-Alpes;FR
LURCY;1090;46.061730034;4.78075207026;Ain;84;Auvergne-Rhône-Alpes;FR
MAGNIEU;1300;45.7754050255;5.71540945601;Ain;84;Auvergne-Rhône-Alpes;FR
MAILLAT;1430;46.1201642836;5.52854394238;Ain;84;Auvergne-Rhône-Alpes;FR
MALAFRETAZ;1340;46.3295545661;5.14386299599;Ain;84;Auvergne-Rhône-Alpes;FR
MANTENAY MONTLIN;1560;46.4302754511;5.10675899732;Ain;84;Auvergne-Rhône-Alpes;FR
MANZIAT;1570;46.3643830585;4.90242777155;Ain;84;Auvergne-Rhône-Alpes;FR
MARBOZ;1851;46.3434312497;5.24374534963;Ain;84;Auvergne-Rhône-Alpes;FR
MARCHAMP;1680;45.7738495266;5.54985181107;Ain;84;Auvergne-Rhône-Alpes;FR
MARIGNIEU;1300;45.8010384947;5.71570352924;Ain;84;Auvergne-Rhône-Alpes;FR
MARLIEUX;1240;46.0549073186;5.0741150816;Ain;84;Auvergne-Rhône-Alpes;FR
MARSONNAS;1340;46.3409117711;5.06434294764;Ain;84;Auvergne-Rhône-Alpes;FR
MARTIGNAT;1100;46.2030768095;5.61384033805;Ain;84;Auvergne-Rhône-Alpes;FR
MASSIEUX;1600;45.9094016817;4.82779660051;Ain;84;Auvergne-Rhône-Alpes;FR
MASSIGNIEU DE RIVES;1300;45.7571503942;5.7620535823;Ain;84;Auvergne-Rhône-Alpes;FR
MATAFELON GRANGES;1580;46.2565319445;5.53958933702;Ain;84;Auvergne-Rhône-Alpes;FR
MATAFELON GRANGES;1580;46.2565319445;5.53958933702;Ain;84;Auvergne-Rhône-Alpes;FR
MEILLONNAS;1370;46.244997627;5.33594738489;Ain;84;Auvergne-Rhône-Alpes;FR
MERIGNAT;1450;46.0648564341;5.44210660051;Ain;84;Auvergne-Rhône-Alpes;FR
MESSIMY SUR SAONE;1480;46.0472670758;4.75935643933;Ain;84;Auvergne-Rhône-Alpes;FR
MEXIMIEUX;1800;45.9060530318;5.20404833653;Ain;84;Auvergne-Rhône-Alpes;FR
